SEQ,LINE_NM,UPDOWN_CD,DAY_CD,STATN_CD,EXT_CD,STATN_NM,FIRST_TIME,FIRST_DEP_NM,FIRST_ARR_NM,LAST_TIME,LAST_DEP_NM,LAST_ARR_NM
1,03호선,1,1,1950,318,삼송,50730,삼송,대화,241600,오금,대화
2,03호선,1,1,1948,317,원흥,51000,삼송,대화,241830,오금,대화
3,03호선,1,1,1951,316,원당,51300,삼송,대화,242130,오금,대화
4,03호선,2,1,1958,309,대화,51600,대화,오금,241400,대화,삼송
5,03호선,1,1,1952,315,화정,51630,삼송,대화,242500,오금,대화
6,03호선,2,1,1957,310,주엽,51830,대화,오금,241630,대화,삼송
7,03호선,1,1,1953,314,대곡,51930,삼송,대화,242800,오금,대화
8,03호선,2,1,1956,311,정발산,52100,대화,오금,241900,대화,삼송
9,03호선,1,1,339,349,수서,52200,수서,구파발,243230,오금,압구정
10,03호선,1,2,1950,318,삼송,52300,삼송,대화,233530,오금,대화
11,03호선,1,3,1950,318,삼송,52300,삼송,대화,233530,오금,대화
12,03호선,1,1,1954,313,백석,52300,삼송,대화,243130,오금,대화
13,03호선,2,1,1955,312,마두,52300,대화,오금,242100,대화,삼송
14,03호선,1,1,334,344,도곡,52400,도곡,대화,244200,오금,압구정
15,03호선,1,1,338,348,일원,52430,수서,구파발,243500,오금,압구정
16,03호선,1,3,334,344,도곡,52500,도곡,대화,234230,오금,압구정
17,03호선,1,2,334,344,도곡,52500,도곡,대화,234230,오금,압구정
18,03호선,1,3,339,349,수서,52500,수서,대화,233300,오금,압구정
19,03호선,1,2,339,349,수서,52500,수서,대화,233300,오금,압구정
20,03호선,1,3,1948,317,원흥,52530,삼송,대화,233800,오금,대화
21,03호선,1,2,1948,317,원흥,52530,삼송,대화,233800,오금,대화
22,03호선,1,1,1955,312,마두,52530,삼송,대화,243400,오금,대화
23,03호선,2,1,1954,313,백석,52530,대화,오금,242330,대화,삼송
24,03호선,1,1,333,343,매봉,52600,도곡,대화,244400,오금,압구정
25,03호선,1,1,337,347,대청,52630,수서,구파발,243700,오금,압구정
26,03호선,1,2,333,343,매봉,52700,도곡,대화,234430,오금,압구정
27,03호선,1,3,333,343,매봉,52700,도곡,대화,234430,오금,압구정
28,03호선,1,1,1956,311,정발산,52730,삼송,대화,243600,오금,대화
29,03호선,1,2,338,348,일원,52730,수서,대화,233530,오금,압구정
30,03호선,1,3,338,348,일원,52730,수서,대화,233530,오금,압구정
31,03호선,1,3,342,352,오금,52800,오금,대화,232700,오금,압구정
32,03호선,1,2,342,352,오금,52800,오금,대화,232700,오금,압구정
33,03호선,1,3,1951,316,원당,52830,삼송,대화,234100,오금,대화
34,03호선,1,2,1951,316,원당,52830,삼송,대화,234100,오금,대화
35,03호선,1,1,332,342,양재,52830,도곡,대화,244630,오금,압구정
36,03호선,1,1,336,346,학여울,52830,수서,구파발,243900,오금,압구정
37,03호선,2,1,1953,314,대곡,52900,대화,오금,242700,대화,삼송
38,03호선,1,2,332,342,양재,52930,도곡,대화,234700,오금,압구정
39,03호선,1,3,332,342,양재,52930,도곡,대화,234700,오금,압구정
40,03호선,1,3,337,347,대청,52930,수서,대화,233730,오금,압구정
41,03호선,1,2,337,347,대청,52930,수서,대화,233730,오금,압구정
42,03호선,1,2,341,351,경찰병원,52930,오금,대화,232900,오금,압구정
43,03호선,1,3,341,351,경찰병원,52930,오금,대화,232900,오금,압구정
44,03호선,2,2,326,336,압구정,53000,압구정,오금,234700,대화,도곡
45,03호선,2,3,326,336,압구정,53000,압구정,오금,234700,대화,도곡
46,03호선,2,1,326,336,압구정,53000,압구정,오금,244300,대화,도곡
47,03호선,1,1,1957,310,주엽,53000,삼송,대화,243830,오금,대화
48,03호선,2,3,316,326,독립문,53000,독립문,오금,234730,대화,약수
49,03호선,2,2,316,326,독립문,53000,독립문,오금,234730,대화,약수
50,03호선,2,1,316,326,독립문,53000,독립문,오금,244730,대화,약수
51,03호선,2,2,310,320,구파발,53000,구파발,오금,233430,대화,약수
52,03호선,2,1,310,320,구파발,53000,구파발,오금,243430,대화,약수
53,03호선,2,3,310,320,구파발,53000,구파발,오금,233430,대화,약수
54,03호선,1,3,323,333,약수,53000,약수,대화,235100,오금,독립문
55,03호선,1,2,323,333,약수,53000,약수,대화,235100,오금,독립문
56,03호선,1,1,323,333,약수,53000,약수,대화,244700,오금,독립문
57,03호선,2,2,1958,309,대화,53000,대화,오금,233600,대화,삼송
58,03호선,2,3,1958,309,대화,53000,대화,오금,233600,대화,삼송
59,03호선,1,1,335,345,대치,53000,수서,구파발,244030,오금,압구정
60,03호선,1,3,340,350,가락시장,53100,오금,대화,233030,오금,압구정
61,03호선,1,2,340,350,가락시장,53100,오금,대화,233030,오금,압구정
62,03호선,1,1,331,341,남부터미널,53100,도곡,대화,244900,오금,압구정
63,03호선,1,1,342,352,오금,53100,오금,대화,242700,오금,압구정
64,03호선,1,3,322,332,동대입구,53130,약수,대화,235230,오금,독립문
65,03호선,1,2,322,332,동대입구,53130,약수,대화,235230,오금,독립문
66,03호선,1,3,336,346,학여울,53130,수서,대화,233930,오금,압구정
67,03호선,1,1,322,332,동대입구,53130,약수,대화,244830,오금,독립문
68,03호선,1,2,336,346,학여울,53130,수서,대화,233930,오금,압구정
69,03호선,1,3,1952,315,화정,53200,삼송,대화,234430,오금,대화
70,03호선,1,2,1952,315,화정,53200,삼송,대화,234430,오금,대화
71,03호선,2,1,1952,315,화정,53200,대화,오금,243000,대화,삼송
72,03호선,1,2,331,341,남부터미널,53200,도곡,대화,234930,오금,압구정
73,03호선,1,3,331,341,남부터미널,53200,도곡,대화,234930,오금,압구정
74,03호선,2,2,327,337,신사,53230,압구정,오금,234930,대화,도곡
75,03호선,2,3,327,337,신사,53230,압구정,오금,234930,대화,도곡
76,03호선,2,1,327,337,신사,53230,압구정,오금,244530,대화,도곡
77,03호선,2,3,317,327,경복궁,53230,독립문,오금,235000,대화,약수
78,03호선,2,2,317,327,경복궁,53230,독립문,오금,235000,대화,약수
79,03호선,2,1,317,327,경복궁,53230,독립문,오금,245000,대화,약수
80,03호선,2,1,311,321,연신내,53230,구파발,오금,243700,대화,약수
81,03호선,2,3,311,321,연신내,53230,구파발,오금,233700,대화,약수
82,03호선,2,2,311,321,연신내,53230,구파발,오금,233700,대화,약수
83,03호선,2,2,1957,310,주엽,53230,대화,오금,233830,대화,삼송
84,03호선,2,3,1957,310,주엽,53230,대화,오금,233830,대화,삼송
85,03호선,1,1,341,351,경찰병원,53230,오금,대화,242830,오금,압구정
86,03호선,1,2,335,345,대치,53300,수서,대화,234100,오금,압구정
87,03호선,1,3,335,345,대치,53300,수서,대화,234100,오금,압구정
88,03호선,1,1,330,340,교대,53300,도곡,대화,245100,오금,압구정
89,03호선,1,3,321,331,충무로,53330,약수,대화,235430,오금,독립문
90,03호선,1,2,321,331,충무로,53330,약수,대화,235430,오금,독립문
91,03호선,1,1,321,331,충무로,53330,약수,대화,245030,오금,독립문
92,03호선,1,3,330,340,교대,53400,도곡,대화,235130,오금,압구정
93,03호선,1,2,330,340,교대,53400,도곡,대화,235130,오금,압구정
94,03호선,1,1,340,350,가락시장,53400,오금,대화,243000,오금,압구정
95,03호선,2,3,328,338,잠원,53430,압구정,오금,235130,대화,도곡
96,03호선,2,2,328,338,잠원,53430,압구정,오금,235130,대화,도곡
97,03호선,2,1,328,338,잠원,53430,압구정,오금,244730,대화,도곡
98,03호선,2,2,318,328,안국,53430,독립문,오금,235200,대화,약수
99,03호선,2,1,318,328,안국,53430,독립문,오금,245200,대화,약수
100,03호선,2,3,318,328,안국,53430,독립문,오금,235200,대화,약수
101,03호선,2,3,312,322,불광,53430,구파발,오금,233900,대화,약수
102,03호선,2,2,312,322,불광,53430,구파발,오금,233900,대화,약수
103,03호선,2,1,312,322,불광,53430,구파발,오금,243900,대화,약수
104,03호선,1,2,1953,314,대곡,53500,삼송,대화,234730,오금,대화
105,03호선,1,3,1953,314,대곡,53500,삼송,대화,234730,오금,대화
106,03호선,1,3,320,330,을지로3가,53500,약수,대화,235600,오금,독립문
107,03호선,1,2,320,330,을지로3가,53500,약수,대화,235600,오금,독립문
108,03호선,1,1,320,330,을지로3가,53500,약수,대화,245200,오금,독립문
109,03호선,2,3,1956,311,정발산,53500,대화,오금,234100,대화,삼송
110,03호선,2,2,1956,311,정발산,53500,대화,오금,234100,대화,삼송
111,03호선,2,1,1951,316,원당,53530,대화,오금,243330,대화,삼송
112,03호선,1,1,329,339,고속터미널,53530,도곡,대화,245330,오금,압구정
113,03호선,2,3,329,339,고속터미널,53630,압구정,오금,235330,대화,도곡
114,03호선,2,2,329,339,고속터미널,53630,압구정,오금,235330,대화,도곡
115,03호선,2,1,329,339,고속터미널,53630,압구정,오금,244930,대화,도곡
116,03호선,2,3,319,329,종로3가,53630,독립문,오금,235400,대화,약수
117,03호선,2,2,319,329,종로3가,53630,독립문,오금,235400,대화,약수
118,03호선,2,1,319,329,종로3가,53630,독립문,오금,245400,대화,약수
119,03호선,2,1,313,323,녹번,53630,구파발,오금,244100,대화,약수
120,03호선,2,2,313,323,녹번,53630,구파발,오금,234100,대화,약수
121,03호선,2,3,313,323,녹번,53630,구파발,오금,234100,대화,약수
122,03호선,1,3,319,329,종로3가,53630,약수,대화,235730,오금,독립문
123,03호선,1,2,319,329,종로3가,53630,약수,대화,235730,오금,독립문
124,03호선,1,3,329,339,고속터미널,53630,도곡,대화,235400,오금,압구정
125,03호선,1,2,329,339,고속터미널,53630,도곡,대화,235400,오금,압구정
126,03호선,1,1,319,329,종로3가,53630,약수,대화,245400,오금,독립문
127,03호선,2,3,1955,312,마두,53700,대화,오금,234300,대화,삼송
128,03호선,2,2,1955,312,마두,53700,대화,오금,234300,대화,삼송
129,03호선,1,1,328,338,잠원,53730,도곡,대화,245530,오금,압구정
130,03호선,2,2,320,330,을지로3가,53800,독립문,오금,235530,대화,약수
131,03호선,2,3,320,330,을지로3가,53800,독립문,오금,235530,대화,약수
132,03호선,2,1,320,330,을지로3가,53800,독립문,오금,245530,대화,약수
133,03호선,1,3,1954,313,백석,53830,삼송,대화,235100,오금,대화
134,03호선,1,2,1954,313,백석,53830,삼송,대화,235100,오금,대화
135,03호선,1,3,318,328,안국,53830,약수,대화,235930,오금,독립문
136,03호선,1,2,318,328,안국,53830,약수,대화,235930,오금,독립문
