STATN_ID,SUBWAY_ID,STATN_NM,LINE_NM
1001000100,1001,소요산,1호선
1001000101,1001,동두천,1호선
1001000102,1001,보산,1호선
1001000103,1001,동두천중앙,1호선
1001000104,1001,지행,1호선
1001000105,1001,덕정,1호선
1001000106,1001,덕계,1호선
1001000107,1001,양주,1호선
1001000108,1001,녹양,1호선
1001000109,1001,가능,1호선
1001000110,1001,의정부,1호선
1001000111,1001,회룡,1호선
1001000112,1001,망월사,1호선
1001000113,1001,도봉산,1호선
1001000114,1001,도봉,1호선
1001000115,1001,방학,1호선
1001000116,1001,창동,1호선
1001000117,1001,녹천,1호선
1001000118,1001,월계,1호선
1001000119,1001,광운대,1호선
1001000120,1001,석계,1호선
1001000121,1001,신이문,1호선
1001000122,1001,외대앞,1호선
1001000123,1001,회기,1호선
1001000124,1001,청량리,1호선
1001000125,1001,제기동,1호선
1001000126,1001,신설동,1호선
1001000127,1001,동묘앞,1호선
1001000128,1001,동대문,1호선
1001000129,1001,종로5가,1호선
1001000130,1001,종로3가,1호선
1001000131,1001,종각,1호선
1001000132,1001,시청,1호선
1001000133,1001,서울,1호선
1001000134,1001,남영,1호선
1001000135,1001,용산,1호선
1001000136,1001,노량진,1호선
1001000137,1001,대방,1호선
1001000138,1001,신길,1호선
1001000139,1001,영등포,1호선
1001000140,1001,신도림,1호선
1001000141,1001,구로,1호선
1001000142,1001,구일,1호선
1001000143,1001,개봉,1호선
1001000144,1001,오류동,1호선
1001000145,1001,온수,1호선
1001000146,1001,역곡,1호선
1001000147,1001,소사,1호선
1001000148,1001,부천,1호선
1001000149,1001,중동,1호선
1001000150,1001,송내,1호선
1001000151,1001,부개,1호선
1001000152,1001,부평,1호선
1001000153,1001,백운,1호선
1001000154,1001,동암,1호선
1001000155,1001,간석,1호선
1001000156,1001,주안,1호선
1001000157,1001,도화,1호선
1001000158,1001,제물포,1호선
1001000159,1001,도원,1호선
1001000160,1001,동인천,1호선
1001000161,1001,인천,1호선
1001001001,1001,청산,1호선
1001001002,1001,전곡,1호선
1001001003,1001,연천,1호선
1001075410,1001,광명,1호선
1001080142,1001,가산디지털단지,1호선
1001080143,1001,독산,1호선
1001080144,1001,금천구청,1호선
1001080145,1001,석수,1호선
1001080146,1001,관악,1호선
1001080147,1001,안양,1호선
1001080148,1001,명학,1호선
1001080149,1001,금정,1호선
1001080150,1001,군포,1호선
1001080151,1001,당정,1호선
1001080152,1001,의왕,1호선
1001080153,1001,성균관대,1호선
1001080154,1001,화서,1호선
1001080155,1001,수원,1호선
1001080156,1001,세류,1호선
1001080157,1001,병점,1호선
1001080158,1001,세마,1호선
1001080159,1001,오산대,1호선
1001080160,1001,오산,1호선
1001080161,1001,진위,1호선
1001080162,1001,송탄,1호선
1001080163,1001,서정리,1호선
1001080164,1001,지제,1호선
1001080165,1001,평택,1호선
1001080166,1001,성환,1호선
1001080167,1001,직산,1호선
1001080168,1001,두정,1호선
1001080169,1001,천안,1호선
1001080170,1001,봉명,1호선
1001080171,1001,쌍용(나사렛대),1호선
1001080172,1001,아산,1호선
1001080173,1001,탕정,1호선
1001080174,1001,배방,1호선
1001080175,1001,온양온천,1호선
1001080176,1001,신창,1호선
1001801571,1001,서동탄,1호선
1002000201,1002,시청,2호선
1002000202,1002,을지로입구,2호선
1002000203,1002,을지로3가,2호선
1002000204,1002,을지로4가,2호선
1002000205,1002,동대문역사문화공원,2호선
1002000206,1002,신당,2호선
1002000207,1002,상왕십리,2호선
1002000208,1002,왕십리,2호선
1002000209,1002,한양대,2호선
1002000210,1002,뚝섬,2호선
1002000211,1002,성수,2호선
1002000212,1002,건대입구,2호선
1002000213,1002,구의,2호선
1002000214,1002,강변,2호선
1002000215,1002,잠실나루,2호선
1002000216,1002,잠실,2호선
1002000217,1002,잠실새내,2호선
1002000218,1002,종합운동장,2호선
1002000219,1002,삼성,2호선
1002000220,1002,선릉,2호선
1002000221,1002,역삼,2호선
1002000222,1002,강남,2호선
1002000223,1002,교대,2호선
1002000224,1002,서초,2호선
1002000225,1002,방배,2호선
1002000226,1002,사당,2호선
1002000227,1002,낙성대,2호선
1002000228,1002,서울대입구,2호선
1002000229,1002,봉천,2호선
1002000230,1002,신림,2호선
1002000231,1002,신대방,2호선
1002000232,1002,구로디지털단지,2호선
1002000233,1002,대림,2호선
1002000234,1002,신도림,2호선
1002000235,1002,문래,2호선
1002000236,1002,영등포구청,2호선
1002000237,1002,당산,2호선
1002000238,1002,합정,2호선
1002000239,1002,홍대입구,2호선
1002000240,1002,신촌,2호선
1002000241,1002,이대,2호선
1002000242,1002,아현,2호선
1002000243,1002,충정로,2호선
1002002111,1002,용답,2호선
1002002112,1002,신답,2호선
1002002113,1002,용두,2호선
1002002114,1002,신설동,2호선
1002002341,1002,도림천,2호선
1002002342,1002,양천구청,2호선
1002002343,1002,신정네거리,2호선
1002002344,1002,까치산,2호선
1003000309,1003,대화,3호선
1003000310,1003,주엽,3호선
1003000311,1003,정발산,3호선
1003000312,1003,마두,3호선
1003000313,1003,백석,3호선
1003000314,1003,대곡,3호선
1003000315,1003,화정,3호선
1003000316,1003,원당,3호선
1003000317,1003,원흥,3호선
1003000318,1003,삼송,3호선
1003000319,1003,지축,3호선
1003000320,1003,구파발,3호선
1003000321,1003,연신내,3호선
1003000322,1003,불광,3호선
1003000323,1003,녹번,3호선
1003000324,1003,홍제,3호선
1003000325,1003,무악재,3호선
1003000326,1003,독립문,3호선
1003000327,1003,경복궁,3호선
1003000328,1003,안국,3호선
1003000329,1003,종로3가,3호선
1003000330,1003,을지로3가,3호선
1003000331,1003,충무로,3호선
1003000332,1003,동대입구,3호선
1003000333,1003,약수,3호선
1003000334,1003,금호,3호선
1003000335,1003,옥수,3호선
1003000336,1003,압구정,3호선
1003000337,1003,신사,3호선
1003000338,1003,잠원,3호선
1003000339,1003,고속터미널,3호선
1003000340,1003,교대,3호선
1003000341,1003,남부터미널,3호선
1003000342,1003,양재,3호선
1003000343,1003,매봉,3호선
1003000344,1003,도곡,3호선
1003000345,1003,대치,3호선
1003000346,1003,학여울,3호선
1003000347,1003,대청,3호선
1003000348,1003,일원,3호선
1003000349,1003,수서,3호선
1003000350,1003,가락시장,3호선
1003000351,1003,경찰병원,3호선
1003000352,1003,오금,3호선
1004000409,1004,불암산,4호선
1004000410,1004,상계,4호선
1004000411,1004,노원,4호선
1004000412,1004,창동,4호선
1004000413,1004,쌍문,4호선
1004000414,1004,수유,4호선
1004000415,1004,미아,4호선
1004000416,1004,미아사거리,4호선
1004000417,1004,길음,4호선
1004000418,1004,성신여대입구,4호선
1004000419,1004,한성대입구,4호선
1004000420,1004,혜화,4호선
1004000421,1004,동대문,4호선
1004000422,1004,동대문역사문화공원,4호선
1004000423,1004,충무로,4호선
1004000424,1004,명동,4호선
1004000425,1004,회현,4호선
1004000426,1004,서울,4호선
1004000427,1004,숙대입구,4호선
1004000428,1004,삼각지,4호선
1004000429,1004,신용산,4호선
1004000430,1004,이촌,4호선
1004000431,1004,동작,4호선
1004000432,1004,총신대입구(이수),4호선
1004000433,1004,사당,4호선
1004000434,1004,남태령,4호선
1004000435,1004,선바위,4호선
1004000436,1004,경마공원,4호선
1004000437,1004,대공원,4호선
1004000438,1004,과천,4호선
1004000439,1004,정부과천청사,4호선
1004000440,1004,인덕원,4호선
1004000441,1004,평촌,4호선
1004000442,1004,범계,4호선
1004000443,1004,금정,4호선
1004000444,1004,산본,4호선
1004000445,1004,수리산,4호선
1004000446,1004,대야미,4호선
1004000447,1004,반월,4호선
1004000448,1004,상록수,4호선
1004000449,1004,한대앞,4호선
1004000450,1004,중앙,4호선
1004000451,1004,고잔,4호선
1004000452,1004,초지,4호선
1004000453,1004,안산,4호선
1004000454,1004,신길온천,4호선
1004000455,1004,정왕,4호선
1004000456,1004,오이도,4호선
1005000510,1005,방화,5호선
1005000511,1005,개화산,5호선
1005000512,1005,김포공항,5호선
1005000513,1005,송정,5호선
1005000514,1005,마곡,5호선
1005000515,1005,발산,5호선
1005000516,1005,우장산,5호선
1005000517,1005,화곡,5호선
1005000518,1005,까치산,5호선
1005000519,1005,신정(은행정),5호선
1005000520,1005,목동,5호선
1005000521,1005,오목교(목동운동장앞),5호선
1005000522,1005,양평,5호선
1005000523,1005,영등포구청,5호선
1005000524,1005,영등포시장,5호선
1005000525,1005,신길,5호선
1005000526,1005,여의도,5호선
1005000527,1005,여의나루,5호선
1005000528,1005,마포,5호선
1005000529,1005,공덕,5호선
1005000530,1005,애오개,5호선
1005000531,1005,충정로,5호선
1005000532,1005,서대문,5호선
1005000533,1005,광화문,5호선
1005000534,1005,종로3가,5호선
1005000535,1005,을지로4가,5호선
1005000536,1005,동대문역사문화공원,5호선
1005000537,1005,청구,5호선
1005000538,1005,신금호,5호선
1005000539,1005,행당,5호선
1005000540,1005,왕십리,5호선
1005000541,1005,마장,5호선
1005000542,1005,답십리,5호선
1005000543,1005,장한평,5호선
1005000544,1005,군자(능동),5호선
